Index	Demand 	EmergCost	FixedCost	Lat	Lon	DistanceFromSource	DisruptionRate (alpha=1)	DisruptionRate (beta=0.1,theta=200)
62	25.75	10000	116300	27.71	97.29	474.01	0.040574	0.009347 
63	23.86	10000	122300	27.76	82.64	468.75	0.040979	0.009596 
64	23.16	10000	76100	43.17	77.62	1130.96	0.015917	0.000350 
65	22.85	10000	98500	40.71	74.06	1154.07	0.015585	0.000311 
66	22.65	10000	168100	33.94	117.4	1626.48	0.011714	0.000029 
67	22.54	10000	207400	38.04	84.46	633.12	0.030540	0.004218 
68	22.3	10000	249800	41.08	81.52	894.48	0.020686	0.001141 
69	22.21	10000	120600	39.71	104.73	1068.50	0.016917	0.000478 
70	21.95	10000	64500	30.45	91.13	76.27	0.092640	0.068293 
71	21.09	10000	81100	37.97	121.31	1867.91	0.010937	0.000008 
72	20.8	10000	105700	35.82	78.66	763.92	0.024811	0.002193 
73	20.31	10000	74700	37.53	77.47	880.38	0.021070	0.001225 
74	19.85	10000	249800	32.47	93.8	282.31	0.059373	0.024376 
75	19.66	10000	84100	32.32	90.21	156.33	0.077650	0.045765 
76	19.63	10000	116300	30.68	88.09	117.49	0.084548	0.055574 
77	19.32	10000	74700	41.58	93.62	821.42	0.022828	0.001645 
78	19.2	10000	208000	40.82	96.69	833.83	0.022436	0.001546 
79	19.13	10000	68600	43.08	89.39	899.35	0.020557	0.001114 
80	18.91	10000	68900	42.96	85.66	921.24	0.019995	0.000998 
81	18.81	10000	64400	40.95	73.87	1171.67	0.015344	0.000285 
82	18.8	10000	79900	25.86	80.3	655.33	0.029431	0.003775 
83	18.71	10000	77400	32.35	86.28	267.04	0.061294	0.026310 
84	18.62	10000	168100	33.58	101.88	741.67	0.025658	0.002451 
85	18.35	10000	98500	36.08	79.83	716.48	0.026676	0.002780 
86	18.2	10000	68600	39.78	84.2	744.82	0.025535	0.002413 
87	18.15	10000	76100	33.69	118.01	1661.06	0.011572	0.000024 
88	18.07	10000	84100	32.91	96.63	440.67	0.043231	0.011043 
89	18	10000	81100	34.18	118.25	1675.65	0.011516	0.000022 
90	17.72	10000	249800	47.67	117.41	1896.31	0.010873	0.000007 
91	17.67	10000	76100	47.25	122.46	2094.82	0.010532	0.000002 
92	17.58	10000	249800	34.72	92.35	350.88	0.051595	0.017301 
93	17.48	10000	91100	35.36	119	1722.33	0.011349	0.000018 
94	17.33	10000	119300	37.53	122	1901.73	0.010861	0.000007 
95	17.31	10000	119300	41.07	85.14	805.89	0.023336	0.001778 
96	17.09	10000	59200	38.88	77.1	949.32	0.019317	0.000868 
97	17	10000	249800	37.08	76.51	910.35	0.020271	0.001054 
98	16.98	10000	249800	42.27	71.81	1311.02	0.013772	0.000142 
99	16.51	10000	68900	35.97	83.95	534.69	0.036270	0.006901 
100	16.47	10000	116300	37.66	120.99	1847.85	0.010986	0.000009 
