
-- Random instance No.1 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
10	504.50	10000	84447	31.36	74.67
11	711.38	10000	191187	44.13	84.76
12	709.53	10000	274586	43.84	109.97
13	95.16	10000	159644	42.61	85.77
14	958.38	10000	243060	34.29	119.51
15	640.37	10000	255763	42.05	114.81
16	927.86	10000	183059	36.81	79.03
17	343.77	10000	130669	47.64	92.32
18	906.87	10000	118746	43.36	78.95
19	512.52	10000	101054	49.94	104.08
20	455.90	10000	277726	27.63	89.66

-- Random instance No.4 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	176.48	10000	93266	39.23	112.53
2	959.07	10000	129952	25.44	106.19
3	946.59	10000	77620	35.28	101.46
4	556.70	10000	97012	45.76	96.00
5	267.11	10000	107220	48.48	93.65
6	230.19	10000	88975	39.02	99.06
7	688.61	10000	235455	39.34	114.03
8	758.34	10000	96326	46.69	95.29
9	929.60	10000	145048	49.29	103.28
10	230.64	10000	152357	43.92	71.12
11	844.62	10000	251727	36.80	116.78
12	317.68	10000	156421	26.36	109.01
13	781.92	10000	128535	29.67	113.61
14	190.41	10000	170218	28.02	76.94
15	572.17	10000	180134	43.88	112.73
16	850.31	10000	107316	41.54	107.23
17	632.59	10000	141969	46.68	111.25
18	420.92	10000	46244	25.70	117.12
19	966.22	10000	179541	29.91	119.24
20	589.57	10000	268817	38.71	73.63

-- Random instance No.5 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	344.55	10000	73183	26.98	79.61
2	312.23	10000	242064	46.94	107.49
3	958.22	10000	295161	36.77	110.32
4	601.45	10000	299443	41.58	104.08
5	324.53	10000	272538	44.71	82.74
6	961.85	10000	112470	33.86	82.87
7	180.77	10000	66328	30.67	116.45
8	565.44	10000	159443	46.22	108.23
9	386.63	10000	84341	42.02	70.13
10	282.85	10000	51313	25.19	90.53
11	911.24	10000	146997	45.61	82.78
12	810.90	10000	97339	30.14	108.53
13	503.57	10000	50398	48.21	73.70
14	306.43	10000	258962	49.88	76.84
15	348.93	10000	142320	32.29	111.69
16	311.53	10000	267027	43.92	117.51
17	777.00	10000	220038	46.23	95.71
18	677.95	10000	279994	29.39	115.02
19	571.34	10000	218785	44.92	72.99
20	156.40	10000	264362	44.25	90.62

-- Random instance No.6 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	512.62	10000	197935	39.71	104.34
2	287.12	10000	84177	43.43	108.79
3	969.85	10000	242701	38.23	111.54
4	646.20	10000	231873	37.40	104.52
5	381.95	10000	167855	40.91	71.83
6	315.22	10000	135966	28.73	116.69
7	672.94	10000	42037	47.01	111.23
8	994.27	10000	222561	45.75	113.53
9	465.39	10000	293633	34.78	86.99
10	956.79	10000	95103	31.47	117.58
11	356.13	10000	42268	29.44	91.15
12	925.84	10000	38256	33.89	100.41
13	846.95	10000	242261	41.71	91.44
14	800.73	10000	222541	46.76	76.74
15	503.97	10000	104505	45.71	110.65
16	772.76	10000	31573	46.27	77.78
17	921.41	10000	153270	45.75	80.17
18	934.98	10000	243743	33.05	105.28
19	798.19	10000	258029	34.89	84.39
20	723.24	10000	259907	49.76	99.97

-- Random instance No.7 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	680.69	10000	52688	27.46	71.42
2	640.29	10000	51454	39.92	102.45
3	603.20	10000	190242	39.69	70.39
4	690.95	10000	164303	33.22	112.60
5	61.09	10000	63172	37.11	110.93
6	46.87	10000	34297	48.58	100.50
7	165.10	10000	142910	38.34	113.65
8	801.37	10000	285678	45.28	76.46
9	544.15	10000	232926	27.54	111.49
10	8.99	10000	264059	37.75	86.98
11	422.75	10000	207538	38.28	107.16
12	419.05	10000	249173	37.67	99.93
13	190.32	10000	289289	35.24	101.54
14	916.75	10000	186120	43.61	76.64
15	280.73	10000	211527	34.12	109.61
16	233.98	10000	191284	48.65	95.70
17	65.81	10000	231338	45.27	114.64
18	192.00	10000	207492	36.74	95.54
19	25.03	10000	297272	49.90	88.15
20	290.07	10000	255453	30.29	116.96

-- Random instance No.8 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	848.76	10000	177440	40.22	96.15
2	615.18	10000	163566	36.41	103.75
3	614.83	10000	137783	41.18	71.61
4	735.70	10000	96734	29.04	113.04
5	118.51	10000	228490	33.34	100.02
6	400.25	10000	57792	43.45	84.31
7	657.27	10000	118619	29.70	116.07
8	230.19	10000	223631	44.81	89.40
9	622.91	10000	172218	45.31	78.34
10	682.93	10000	163014	44.03	114.03
11	489.37	10000	102808	47.09	73.16
12	912.27	10000	190091	41.42	99.45
13	533.70	10000	211152	28.77	119.28
14	32.76	10000	274864	40.46	76.54
15	435.77	10000	173712	47.54	108.57
16	316.93	10000	225830	25.99	105.98
17	210.22	10000	164571	44.79	99.10
18	449.03	10000	171241	40.40	93.44
19	630.16	10000	66516	39.87	99.55
20	856.91	10000	250998	35.83	83.94

-- Random instance No.9 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	16.82	10000	32192	27.97	113.24
2	968.35	10000	275679	32.90	105.05
3	626.46	10000	85323	42.64	80.47
4	402.17	10000	299164	49.87	71.11
5	175.93	10000	123807	29.54	89.11
6	131.90	10000	81288	38.32	118.13
7	149.43	10000	219492	46.04	110.85
8	659.02	10000	286748	44.31	102.34
9	79.94	10000	111511	38.04	95.20
10	735.14	10000	61969	25.30	83.43
11	555.99	10000	268078	30.92	89.17
12	27.20	10000	131008	45.20	98.97
13	255.35	10000	258180	47.31	79.37
14	148.78	10000	238443	37.34	76.44
15	212.53	10000	135898	35.92	107.53
16	778.16	10000	115541	28.37	116.26
17	354.63	10000	242639	44.34	91.20
18	706.06	10000	134991	44.09	83.70
19	857.01	10000	250596	29.87	103.31
20	423.74	10000	246543	41.37	100.93

-- Random instance No.10 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	184.89	10000	156945	40.70	80.32
2	943.24	10000	117791	29.39	98.71
3	259.81	10000	32864	44.10	81.69
4	446.92	10000	231595	45.69	71.55
5	855.08	10000	289124	25.74	78.20
6	485.28	10000	249619	33.16	101.94
7	641.60	10000	195201	37.37	113.27
8	466.12	10000	79865	43.84	107.64
9	158.70	10000	50804	30.80	119.70
10	787.35	10000	105760	31.58	102.84
11	0.88	10000	163349	39.76	97.54
12	520.42	10000	71926	48.98	98.49
13	598.73	10000	180043	40.81	97.11
14	643.08	10000	202022	34.19	83.98
15	367.57	10000	98083	49.34	106.49
16	239.38	10000	150087	30.72	84.17
17	499.04	10000	175871	43.86	75.66
18	963.09	10000	98740	47.75	73.96
19	83.85	10000	289839	44.85	114.71
20	990.58	10000	242089	46.88	117.92

-- Random instance No.11 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	352.96	10000	281697	28.45	105.05
2	296.40	10000	85068	25.88	100.01
3	271.44	10000	250405	45.59	90.55
4	491.67	10000	164025	41.51	79.63
5	912.50	10000	184441	46.98	117.30
6	838.66	10000	273114	28.03	85.75
7	755.49	10000	296075	28.70	115.69
8	894.95	10000	287818	43.37	70.57
9	237.46	10000	260096	48.57	86.55
10	461.28	10000	274715	37.86	79.88
11	67.50	10000	58619	48.60	113.55
12	13.63	10000	138007	27.72	98.01
13	942.11	10000	227071	34.34	107.21
14	759.10	10000	165602	31.07	83.88
15	144.33	10000	60269	37.75	105.45
16	700.61	10000	39797	33.10	94.45
17	643.45	10000	253939	43.38	110.13
18	220.11	10000	187654	26.43	71.86
19	310.70	10000	59083	34.85	118.47
20	557.41	10000	237634	27.41	77.26

-- Random instance No.12 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	689.10	10000	116366	28.96	96.86
2	624.46	10000	39293	43.87	94.97
3	916.43	10000	290322	48.54	100.63
4	581.17	10000	298886	33.15	88.15
5	649.06	10000	245076	39.41	103.12
6	923.69	10000	194941	42.75	95.74
7	739.82	10000	102657	36.37	112.89
8	130.87	10000	144052	42.43	96.45
9	773.26	10000	138682	34.06	77.90
10	565.70	10000	72626	25.41	118.70
11	200.74	10000	119159	41.24	95.56
12	621.79	10000	289842	35.28	97.05
13	7.13	10000	70797	46.41	85.04
14	991.14	10000	217924	49.78	83.68
15	76.13	10000	254640	39.58	103.37
16	623.06	10000	234054	37.83	72.64
17	932.27	10000	265240	42.45	79.05
18	734.17	10000	115152	33.78	110.03
19	142.67	10000	137571	39.83	83.62
20	691.08	10000	228725	38.49	111.24

-- Random instance No.13 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	193.30	10000	220623	42.20	105.76
2	305.68	10000	230795	33.34	91.23
3	573.04	10000	132944	27.94	111.93
4	337.14	10000	96177	45.65	104.75
5	443.04	10000	201028	28.04	70.39
6	362.09	10000	265427	27.33	97.18
7	216.31	10000	280112	35.37	112.51
8	795.63	10000	208239	41.02	77.62
9	9.53	10000	226560	37.32	86.11
10	344.05	10000	184327	44.25	84.55
11	778.88	10000	74970	42.72	85.94
12	723.16	10000	112594	46.59	87.97
13	415.54	10000	86715	26.97	80.61
14	717.47	10000	233826	40.36	91.02
15	162.97	10000	141197	29.82	107.89
16	6.73	10000	192857	44.91	111.12
17	365.49	10000	209773	41.04	82.44
18	505.25	10000	276400	44.79	88.45
19	201.49	10000	255302	34.81	102.54
20	13.30	10000	215361	30.07	104.56

-- Random instance No.14 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	361.37	10000	75376	29.95	80.48
2	280.57	10000	72908	29.83	92.53
3	584.67	10000	80484	29.40	70.78
4	381.89	10000	298607	41.47	105.19
5	500.46	10000	96345	49.25	109.49
6	93.74	10000	163759	47.18	80.99
7	330.20	10000	255821	26.70	114.93
8	602.73	10000	271356	40.55	90.56
9	466.57	10000	165852	30.08	102.97
10	17.98	10000	83282	25.52	111.60
11	845.50	10000	240240	26.55	101.95
12	216.37	10000	53512	25.33	87.49
13	758.92	10000	278579	45.51	90.71
14	833.49	10000	197406	37.24	90.92
15	939.74	10000	248218	43.24	106.85
16	467.96	10000	82568	47.29	71.39
17	509.90	10000	287841	40.56	116.91
18	384.00	10000	240149	48.48	78.71
19	428.34	10000	294545	49.79	113.94
20	580.14	10000	66070	35.61	71.54

-- Random instance No.15 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	529.44	10000	200128	42.68	97.57
2	633.74	10000	185020	26.32	93.83
3	596.30	10000	298025	30.89	72.00
4	426.64	10000	231038	37.29	113.27
5	557.88	10000	261662	45.48	98.58
6	447.12	10000	187254	42.05	114.81
7	822.37	10000	86694	43.04	109.71
8	31.55	10000	209309	40.08	103.50
9	545.33	10000	105145	47.85	119.83
10	70.19	10000	127073	31.80	81.00
11	290.39	10000	135511	35.39	110.32
12	331.31	10000	264429	29.11	87.01
13	102.29	10000	55606	39.04	108.45
14	949.51	10000	160985	34.09	90.82
15	94.77	10000	210404	31.65	105.81
16	550.91	10000	117114	49.64	81.67
17	654.31	10000	221074	40.08	101.37
18	641.03	10000	203899	27.13	76.61
19	655.19	10000	63789	39.79	117.70
20	146.97	10000	61616	41.12	88.53

-- Random instance No.16 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	697.51	10000	54881	30.43	72.29
2	608.63	10000	297133	47.85	87.49
3	229.65	10000	245566	32.35	80.86
4	471.39	10000	163468	33.11	113.71
5	237.02	10000	156980	41.68	87.67
6	178.77	10000	210750	36.89	98.62
7	314.53	10000	62403	34.40	112.13
8	838.66	10000	272426	39.61	108.80
9	624.09	10000	169602	40.61	94.32
10	744.13	10000	296028	38.08	108.05
11	357.01	10000	30781	44.20	76.32
12	824.53	10000	205346	32.86	86.53
13	445.67	10000	247469	32.54	118.55
14	443.80	10000	249728	30.94	90.72
15	871.54	10000	172589	45.07	104.77
16	12.13	10000	276825	27.01	99.59
17	798.72	10000	299142	39.60	85.83
18	898.06	10000	167648	30.82	116.88
19	260.31	10000	103033	29.76	79.09
20	713.81	10000	57161	46.66	97.88

-- Random instance No.17 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	865.58	10000	34797	43.19	89.38
2	961.80	10000	264410	44.34	88.79
3	241.28	10000	193106	33.81	82.08
4	516.14	10000	95899	28.93	71.78
5	294.44	10000	52297	37.88	76.76
6	532.15	10000	109081	31.76	82.43
7	806.70	10000	163276	25.73	114.55
8	267.48	10000	65543	39.11	71.73
9	81.12	10000	108894	33.34	111.18
10	796.34	10000	194983	44.36	77.45
11	423.63	10000	196051	28.03	92.33
12	939.47	10000	146264	36.64	86.05
13	167.32	10000	294497	26.07	78.64
14	559.82	10000	213308	27.82	90.62
15	26.57	10000	134775	33.45	103.73
16	473.36	10000	41371	29.36	109.87
17	943.13	10000	232374	39.15	77.93
18	155.08	10000	131397	34.48	107.14
19	487.16	10000	142277	44.77	82.85
20	280.64	10000	52706	27.19	114.87

-- Random instance No.18 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	33.64	10000	159550	30.94	114.11
2	936.69	10000	106522	40.83	90.09
3	252.91	10000	140647	35.30	90.94
4	182.61	10000	298329	49.76	72.22
5	351.86	10000	217614	34.11	115.86
6	263.80	10000	132576	26.63	116.25
7	298.86	10000	138985	42.07	109.33
8	696.31	10000	273496	38.64	84.67
9	159.88	10000	48187	26.10	78.03
10	848.55	10000	93939	25.63	96.86
11	490.25	10000	91322	36.87	108.34
12	432.68	10000	87181	40.42	85.57
13	510.70	10000	216360	44.61	96.38
14	675.84	10000	176887	49.68	90.52
15	803.34	10000	96960	46.87	102.69
16	934.59	10000	201082	31.74	70.14
17	87.53	10000	40442	38.67	112.40
18	412.11	10000	95146	38.17	105.04
19	714.01	10000	56356	34.74	94.25
20	847.48	10000	48252	32.73	81.85

-- Random instance No.19 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	369.78	10000	139055	31.42	98.28
2	264.74	10000	60747	33.81	85.05
3	897.90	10000	35728	38.22	101.02
4	272.11	10000	163190	41.40	80.74
5	88.42	10000	278249	26.51	94.04
6	970.56	10000	54403	41.35	83.87
7	283.19	10000	215567	49.74	114.17
8	932.24	10000	129730	37.70	102.91
9	317.40	10000	196772	36.63	119.39
10	574.69	10000	36685	38.19	93.31
11	1.76	10000	151862	29.51	82.71
12	40.83	10000	239016	47.95	84.61
13	575.73	10000	185251	31.64	74.21
14	286.15	10000	229210	43.41	97.96
15	735.14	10000	291331	48.70	100.61
16	857.04	10000	125338	36.47	98.34
17	376.35	10000	51743	37.71	81.32
18	926.17	10000	292645	45.52	85.56
19	545.98	10000	134843	39.72	109.41
20	981.15	10000	39342	43.78	115.83

-- Random instance No.20 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	705.92	10000	118559	31.93	90.09
2	592.80	10000	140137	26.79	87.65
3	921.16	10000	200810	41.17	111.10
4	361.61	10000	298051	33.04	89.26
5	824.99	10000	68883	43.95	72.22
6	55.58	10000	101394	31.06	101.50
7	889.25	10000	292150	32.40	111.37
8	168.16	10000	130800	36.76	78.78
9	853.20	10000	75358	47.13	110.74
10	300.83	10000	104595	25.74	89.76
11	135.00	10000	212403	47.19	114.73
12	27.26	10000	246015	30.47	76.01
13	262.48	10000	154142	43.71	102.05
14	518.19	10000	156368	37.14	97.76
15	666.94	10000	215703	25.52	98.53
16	779.49	10000	49595	41.20	118.90
17	665.17	10000	63044	36.78	100.25
18	440.22	10000	75308	27.86	73.72
19	999.68	10000	213331	44.70	74.56
20	114.81	10000	30433	29.85	92.16

-- Random instance No.21 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	873.99	10000	243312	44.66	114.82
2	945.97	10000	252249	48.29	81.31
3	554.51	10000	148350	42.66	119.96
4	406.36	10000	85645	28.86	97.34
5	882.41	10000	234201	40.18	111.32
6	787.24	10000	269725	25.93	77.67
7	381.41	10000	123023	48.74	106.15
8	975.27	10000	193917	36.29	91.72
9	931.96	10000	284650	39.89	77.59
10	353.04	10000	148386	32.02	109.17
11	579.90	10000	107673	30.99	73.09
12	142.20	10000	186933	34.25	75.53
13	605.86	10000	76005	37.24	112.15
14	634.21	10000	119947	33.99	97.66
15	821.98	10000	177888	38.94	97.49
16	240.71	10000	84142	43.55	86.81
17	809.58	10000	266276	36.30	84.71
18	697.25	10000	39057	31.52	71.62
19	604.80	10000	252575	34.70	78.32
20	681.65	10000	295978	35.39	109.15

-- Random instance No.22 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	42.05	10000	98064	32.41	81.90
2	920.86	10000	94362	44.78	82.61
3	566.14	10000	95891	44.12	71.17
4	72.83	10000	288076	49.69	97.78
5	939.83	10000	129518	36.38	108.05
6	140.61	10000	293220	45.78	111.49
7	873.58	10000	98732	40.07	108.57
8	404.09	10000	257034	35.82	97.02
9	10.71	10000	223943	32.65	94.45
10	26.97	10000	47341	38.30	78.57
11	646.52	10000	272943	39.83	89.10
12	635.42	10000	127850	38.00	75.05
13	327.51	10000	123032	30.74	79.88
14	128.50	10000	208691	30.84	97.56
15	598.74	10000	284909	27.35	96.45
16	701.94	10000	243852	45.93	97.09
17	953.99	10000	74344	35.82	119.18
18	954.28	10000	272806	35.21	111.89
19	831.65	10000	291818	49.68	82.08
20	248.48	10000	291523	40.90	76.13

-- Random instance No.23 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	210.12	10000	77981	45.17	106.63
2	274.02	10000	206474	41.27	83.91
3	577.77	10000	188267	45.58	80.03
4	117.58	10000	220506	45.51	105.86
5	618.97	10000	294835	32.58	97.14
6	493.99	10000	46716	40.65	95.30
7	365.74	10000	199605	31.40	110.99
8	832.92	10000	194987	35.35	109.96
9	467.75	10000	163235	25.38	118.95
10	79.18	10000	216297	44.58	105.62
11	713.14	10000	168213	48.67	105.11
12	128.63	10000	68767	41.78	74.57
13	670.89	10000	44896	49.28	89.98
14	244.52	10000	172270	27.72	105.10
15	753.78	10000	247095	40.77	95.41
16	163.16	10000	278398	48.31	107.37
17	98.39	10000	277577	35.37	103.64
18	211.30	10000	236556	38.87	102.15
19	58.49	10000	61062	39.68	93.48
20	815.32	10000	287069	46.44	85.48

-- Random instance No.24 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	546.26	10000	57486	45.65	98.44
2	602.08	10000	285864	34.25	78.87
3	222.75	10000	83349	48.53	90.11
4	207.08	10000	85367	37.15	114.38
5	733.81	10000	85470	25.01	75.32
6	579.02	10000	238542	30.36	112.93
7	971.80	10000	276187	39.10	108.19
8	68.84	10000	51221	34.41	85.83
9	625.27	10000	41821	35.91	102.66
10	805.33	10000	159043	32.13	102.07
11	224.65	10000	228754	41.31	79.48
12	736.79	10000	220602	49.31	73.61
13	357.64	10000	283786	36.34	117.82
14	476.56	10000	224593	46.43	104.90
15	685.58	10000	171466	42.60	93.33
16	707.34	10000	202655	28.03	85.56
17	387.21	10000	288877	34.41	72.56
18	725.36	10000	164054	46.22	90.31
19	890.47	10000	139550	44.66	108.64
20	948.99	10000	278159	32.51	119.46

-- Random instance No.25 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	714.33	10000	182238	33.40	115.53
2	955.25	10000	127976	30.74	80.17
3	234.38	10000	30889	25.01	91.33
4	251.83	10000	287797	32.97	72.45
5	412.95	10000	250787	46.25	114.42
6	310.67	10000	262038	25.23	96.74
7	463.96	10000	251896	30.43	110.61
8	875.95	10000	259174	33.91	91.13
9	704.03	10000	251113	28.67	77.15
10	857.54	10000	57998	38.41	71.47
11	291.27	10000	124024	25.14	95.49
12	230.00	10000	161519	28.08	73.13
13	79.29	10000	205650	29.87	85.55
14	970.86	10000	188172	43.31	104.80
15	462.34	10000	133652	30.98	99.93
16	168.56	10000	92366	30.38	95.84
17	531.62	10000	96945	33.96	114.67
18	982.39	10000	127803	49.91	88.21
19	117.31	10000	178793	34.66	112.40
20	137.54	10000	273705	38.02	86.44

-- Random instance No.26 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	882.40	10000	36990	46.16	90.25
2	930.14	10000	240089	27.23	73.83
3	867.74	10000	248430	26.47	100.19
4	296.58	10000	220228	28.79	72.89
5	470.37	10000	146104	42.45	103.51
6	664.05	10000	285533	45.08	80.55
7	956.13	10000	82769	46.77	105.39
8	304.77	10000	52291	33.44	104.07
9	161.06	10000	190406	46.41	94.01
10	909.75	10000	226953	44.69	90.88
11	357.89	10000	289294	33.98	111.50
12	344.94	10000	102437	31.86	115.02
13	422.67	10000	252677	48.38	95.65
14	86.87	10000	151751	40.16	104.70
15	617.38	10000	95837	44.40	98.89
16	629.79	10000	126912	32.76	113.76
17	676.03	10000	30178	33.48	99.13
18	239.41	10000	91553	28.56	78.47
19	344.16	10000	92873	49.64	73.79
20	704.38	10000	269250	43.56	95.79

-- Random instance No.27 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	50.46	10000	161743	33.91	107.34
2	283.30	10000	82201	48.73	75.13
3	879.37	10000	195971	27.93	101.41
4	963.06	10000	152658	49.62	80.97
5	527.79	10000	41422	38.65	92.60
6	395.70	10000	183864	39.95	114.37
7	448.29	10000	58478	38.10	107.81
8	733.60	10000	115408	32.97	117.01
9	239.82	10000	129699	39.17	110.87
10	583.68	10000	125908	25.96	117.93
11	424.51	10000	184565	42.82	77.50
12	838.16	10000	43354	35.61	114.54
13	766.05	10000	174540	41.91	113.39
14	202.89	10000	115330	37.01	104.60
15	394.14	10000	58023	32.81	97.85
16	91.01	10000	286623	35.11	74.03
17	820.44	10000	108246	33.00	83.59
18	496.44	10000	55302	32.25	118.74
19	571.01	10000	132116	39.64	77.55
20	271.21	10000	264795	49.10	112.78

-- Random instance No.28 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	218.53	10000	286495	46.64	74.42
2	258.19	10000	49478	45.22	76.43
3	891.00	10000	143511	29.42	110.27
4	7.80	10000	85088	45.44	81.41
5	206.93	10000	206739	34.88	81.69
6	749.08	10000	207360	34.79	98.18
7	940.46	10000	159351	29.43	110.23
8	540.70	10000	53361	32.50	79.94
9	318.58	10000	68991	31.93	85.36
10	635.89	10000	169699	32.24	87.33
11	869.41	10000	79835	26.62	85.87
12	331.37	10000	254272	39.39	114.06
13	487.70	10000	221568	35.44	73.48
14	318.91	10000	204074	33.89	112.14
15	549.18	10000	290208	46.23	96.81
16	552.24	10000	51169	37.49	84.31
17	964.85	10000	41478	32.52	118.06
18	753.47	10000	289051	35.91	116.64
19	176.13	10000	171360	29.61	88.95
20	838.05	10000	260341	29.63	79.76

-- Random instance No.29 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	554.67	10000	121164	47.15	116.24
2	586.25	10000	273703	38.20	71.39
3	535.98	10000	38593	32.34	70.34
4	97.30	10000	219949	37.11	89.93
5	321.77	10000	267374	27.28	109.88
6	834.11	10000	129187	49.51	115.81
7	924.79	10000	235934	37.10	107.43
8	776.63	10000	179595	31.56	98.18
9	854.38	10000	217576	42.43	119.08
10	362.03	10000	237610	44.80	83.78
11	2.64	10000	140375	44.30	117.89
12	939.53	10000	136106	46.92	113.10
13	174.45	10000	190459	47.48	101.32
14	929.23	10000	131232	27.62	111.94
15	102.70	10000	214579	48.06	94.73
16	474.69	10000	245426	42.22	112.51
17	253.66	10000	52779	31.59	86.98
18	889.25	10000	216550	43.26	97.16
19	629.83	10000	249848	34.59	104.11
20	971.72	10000	251431	40.68	113.74

-- Random instance No.30 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	722.74	10000	245917	34.90	90.96
2	939.42	10000	115816	34.69	72.69
3	547.61	10000	256133	33.83	71.56
4	142.05	10000	152380	32.93	98.01
5	0.91	10000	162691	48.52	98.97
6	187.48	10000	152682	44.38	99.62
7	38.67	10000	66807	28.43	109.85
8	205.45	10000	242712	31.09	111.12
9	933.14	10000	156869	35.19	93.57
10	414.24	10000	136565	26.07	103.19
11	69.26	10000	35646	28.10	83.89
12	432.74	10000	77024	25.69	112.62
13	517.83	10000	112322	41.01	119.06
14	45.24	10000	94812	49.48	111.84
15	257.74	10000	51601	36.47	93.69
16	935.92	10000	135136	44.57	72.78
17	398.07	10000	130847	31.11	71.44
18	146.27	10000	180299	46.95	95.06
19	234.95	10000	289091	49.60	107.87
20	538.55	10000	102141	46.22	73.08

-- Random instance No.31 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	890.81	10000	100669	47.63	108.05
2	914.31	10000	227928	31.18	116.36
3	180.96	10000	203674	35.29	80.42
4	186.80	10000	84810	28.75	98.45
5	58.33	10000	58008	44.72	88.06
6	919.14	10000	176178	39.25	83.43
7	530.84	10000	42516	44.77	104.63
8	12.55	10000	180665	30.62	74.05
9	11.89	10000	96162	27.95	110.43
10	88.17	10000	35520	32.35	72.59
11	514.16	10000	200916	36.94	92.26
12	547.68	10000	287941	29.44	112.14
13	239.48	10000	34185	34.54	79.15
14	161.26	10000	183555	46.33	111.74
15	34.50	10000	283786	49.89	92.65
16	397.14	10000	169683	46.95	90.70
17	542.48	10000	64080	30.63	105.91
18	403.30	10000	269213	25.60	85.32
19	461.80	10000	58335	39.57	119.27
20	105.38	10000	97686	26.75	90.07

-- Random instance No.32 --
Index	Demand	EmergCos	FixedCost	Lat	Lon
1	58.87	10000	225421	35.38	82.77
2	267.47	10000	195205	27.67	117.66
3	192.59	10000	151215	36.78	81.64
4	853.28	10000	287240	49.58	106.53
5	115.75	10000	223325	40.95	77.15
6	272.51	10000	74509	34.09	117.25
7	23.00	10000	143389	36.10	107.05
8	441.38	10000	243782	30.15	86.99
9	468.93	10000	35454	45.69	77.28
10	140.38	10000	79311	38.63	99.64
11	580.78	10000	96186	45.78	108.27
12	40.89	10000	84023	33.22	111.66
13	582.86	10000	81213	28.07	96.89
14	277.28	10000	147134	43.21	111.64
